20260202_120230|SISTEMA|INICIO|Inicio del proceso de extracción
20260202_120916|42.1_EPAT_0_A_27|OK|Encontrado en empleo_ingresos.xlsx. Registros: 43
20260202_120916|42.1_EPET_0_A_24|OK|Encontrado en empleo_ingresos.xlsx. Registros: 43
20260202_120916|42.1_EPDT_0_A_30|OK|Encontrado en empleo_ingresos.xlsx. Registros: 43
20260202_120916|42.1_EPST_0_A_30|OK|Encontrado en empleo_ingresos.xlsx. Registros: 43
20260202_120916|49.1_TAEP_0_0_37|OK|Encontrado en empleo_ingresos.xlsx. Registros: 111
20260202_120916|49.1_TAEP_0_0_25|OK|Encontrado en empleo_ingresos.xlsx. Registros: 111
20260202_120916|49.1_TAEO_0_0_30|OK|Encontrado en empleo_ingresos.xlsx. Registros: 111
20260202_120916|49.1_TAED_0_0_33|OK|Encontrado en empleo_ingresos.xlsx. Registros: 111
20260202_120916|49.1_TOTAL_AGLODOS_0_S_33_15|OK|Encontrado en empleo_ingresos.xlsx. Registros: 111
20260202_120916|49.1_TOTAL_AGLOTES_0_S_45_28|OK|Encontrado en empleo_ingresos.xlsx. Registros: 111
20260202_120916|49.1_TOTAL_AGLOTES_0_S_48_98|OK|Encontrado en empleo_ingresos.xlsx. Registros: 111
20260202_120916|49.2_TAEP_0_0_37|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260202_120916|49.2_TAEP_0_0_25|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260202_120916|49.2_TAEO_0_0_30|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260202_120916|49.2_TAED_0_0_33|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260202_120916|49.2_TOTAL_AGLODOS_0_T_33_90|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260202_120916|49.2_TOTAL_AGLOTES_0_T_45_1|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260202_120916|49.2_TOTAL_AGLOTES_0_T_48_13|OK|Encontrado en empleo_ingresos.xlsx. Registros: 39
20260202_120916|50.1_IT_0_0_12|OK|Encontrado en empleo_ingresos.xlsx. Registros: 23
20260202_120916|50.1_II_0_0_16|OK|Encontrado en empleo_ingresos.xlsx. Registros: 23
20260202_120916|50.1_IC_0_0_19|OK|Encontrado en empleo_ingresos.xlsx. Registros: 23
20260202_120916|50.1_ICS_0_0_25|OK|Encontrado en empleo_ingresos.xlsx. Registros: 23
20260202_120916|56.1_NGMD_2012_T_22|OK|Encontrado en empleo_ingresos.xlsx. Registros: 53
20260202_120917|158.1_REPTE_0_0_5|OK|Encontrado en empleo_ingresos.xlsx. Registros: 377
